,id,type,name,link,count
0,9,2,Alfredo Cuzzocrea,/profile/81100432224,17.0
1,539,2,Chenggong Zhai,/profile/99659315986,11.0
2,5,2,Zhaohao Sun,/profile/99659060865,6.0
3,1108,2,Houman Homayoun,/profile/81351609124,6.0
4,1250,2,Alessio Faccia,/profile/99659472227,6.0
5,605,2,Michael J. Carey,/profile/81100229036,5.0
6,1316,2,Meiryani Meiryani,/profile/99659886217,5.0
7,54,2,Elke A. Rundensteiner,/profile/81408601880,4.0
8,71,2,Carlo Zaniolo,/profile/99659655058,4.0
9,115,2,Carson K. Leung,/profile/81339512271,4.0
10,604,2,Vinayak Borkar,/profile/81100597598,4.0
11,1470,2,Emanuele Della Valle,/profile/81418592892,4.0
12,2385,2,Matteo Interlandi,/profile/81474705142,4.0
13,2720,2,Srikanth Kandula,/profile/81100358227,4.0
14,15,2,Kemal A. Delic,/profile/81100607924,3.0
15,69,2,Elio Masciari,/profile/81100152856,3.0
16,110,2,Ernesto Damiani,/profile/81100103470,3.0
17,269,2,Zhihan Lv,/profile/99658732459,3.0
18,278,2,Maribel Yasmina Santos,/profile/81388597384,3.0
19,279,2,Carlos Costa,/profile/99659055124,3.0
20,4044,1,,/doi/10.1007/978-3-031-40725-3_41,
21,4045,2,,/profile/99661010550,
22,4046,2,,/profile/99661010300,
23,4047,2,,/profile/81100106451,
24,4048,2,,/profile/81375615880,
25,4049,1,,/doi/10.1007/978-3-031-40725-3_12,
26,4050,2,,/profile/99660124348,
27,4051,2,,/profile/81500662826,
28,4052,1,,/doi/10.1007/978-3-031-39847-6_6,
29,4053,2,,/profile/99660967169,
30,4054,2,,/profile/99661009568,
31,4055,2,,/profile/99661010029,
32,4056,2,,/profile/99661002988,
33,4057,1,,/doi/10.1007/978-3-031-39831-5_33,
34,4058,2,,/profile/99660587571,
35,4059,1,,/doi/10.1007/978-3-031-39821-6_37,
36,4060,2,,/profile/99659916690,
37,4061,2,,/profile/99661010630,
38,4062,2,,/profile/99661003406,
39,4063,1,,/doi/10.1145/3603719.3603735,
40,4064,1,,/doi/10.1007/978-3-031-36805-9_47,
41,4065,2,,/profile/99660957655,
42,4066,2,,/profile/99660954611,
43,4067,2,,/profile/99659156616,
44,4068,2,,/profile/99660963593,
45,4069,1,,/doi/10.1007/978-3-031-36805-9_46,
46,4070,2,,/profile/99660960240,
47,4071,2,,/profile/99660966114,
48,4072,1,,/doi/10.1145/3555776.3577790,
49,4073,1,,/doi/10.1145/3555962.3555974,
50,4074,2,,/profile/99659459804,
51,4075,2,,/profile/99659065948,
